lottoDateTh,lottoDateEn,drawNumber,drawType
25390801,19960801,61,6
25390816,19960816,0352768,1
25390816,19960816,389,2
25390816,19960816,932,3
25390816,19960816,609,4
25390816,19960816,875,5
25390816,19960816,19,6
25390901,19960901,0470136,1
25390901,19960901,392,2
25390901,19960901,666,3
25390901,19960901,927,4
25390901,19960901,501,5
25390901,19960901,02,6
25390916,19960916,0814368,1
25390916,19960916,889,2
25390916,19960916,818,3
25390916,19960916,976,4
25390916,19960916,400,5
25390916,19960916,59,6
25391001,19961001,0947788,1
25391001,19961001,089,2
25391001,19961001,166,3
25391001,19961001,544,4
25391001,19961001,484,5
25391001,19961001,97,6
25391016,19961016,0198019,1
25391016,19961016,082,2
25391016,19961016,270,3
25391016,19961016,865,4
25391016,19961016,824,5
25391016,19961016,18,6
25391101,19961101,0512694,1
25391101,19961101,290,2
25391101,19961101,432,3
25391101,19961101,255,4
25391101,19961101,964,5
25391101,19961101,24,6
25391116,19961116,0951088,1
25391116,19961116,168,2
25391116,19961116,349,3
25391116,19961116,580,4
25391116,19961116,577,5
25391116,19961116,21,6
25391201,19961201,0179528,1
25391201,19961201,822,2
25391201,19961201,365,3
25391201,19961201,920,4
25391201,19961201,566,5
25391201,19961201,66,6
25391216,19961216,0593856,1
25391216,19961216,381,2
25391216,19961216,755,3
25391216,19961216,608,4
25391216,19961216,438,5
25391216,19961216,44,6
25391230,19961230,0879454,1
25391230,19961230,879,2
25391230,19961230,314,3
25391230,19961230,158,4
25391230,19961230,584,5
25391230,19961230,26,6
25400116,19970116,0151995,1
25400116,19970116,612,2
25400116,19970116,257,3
25400116,19970116,020,4
25400116,19970116,381,5
25400116,19970116,47,6
25400201,19970201,0750792,1
25400201,19970201,402,2
25400201,19970201,771,3
25400201,19970201,703,4
25400201,19970201,079,5
25400201,19970201,57,6
25400216,19970216,0499884,1
25400216,19970216,716,2
25400216,19970216,247,3
25400216,19970216,533,4
25400216,19970216,315,5
25400216,19970216,94,6
25400301,19970301,0976779,1
25400301,19970301,148,2
25400301,19970301,414,3
25400301,19970301,791,4
25400301,19970301,364,5
25400301,19970301,98,6
25400316,19970316,0100474,1
25400316,19970316,444,2
25400316,19970316,822,3
25400316,19970316,705,4
25400316,19970316,214,5
25400316,19970316,36,6
25400401,19970401,0617629,1
25400401,19970401,426,2
25400401,19970401,162,3
25400401,19970401,880,4
25400401,19970401,015,5
